,Model,RMSE,MAPE,Weeks ahead,Location
340,CMU-TimeSeries,38.34531517511235,70.24224979096856,3,OH
341,CMU-TimeSeries,71.24094132799353,67.36983297138019,3,OK
342,CMU-TimeSeries,3.18565909148974,134.38131556461767,3,OR
343,CMU-TimeSeries,44.359722702024015,44.16374971373062,3,PA
344,CMU-TimeSeries,1.4406005970346736,57531018.717650846,3,RI
345,CMU-TimeSeries,16.679000075065947,73.96878851510658,3,SC
346,CMU-TimeSeries,13.406635310177883,52.045509003572775,3,SD
347,CMU-TimeSeries,19.695118574942835,49.236879223033284,3,TN
348,CMU-TimeSeries,164.59893823105503,74.73560691671831,3,TX
349,CMU-TimeSeries,834.0399504046162,40.035527447415106,3,US
350,CMU-TimeSeries,4.4453502344394185,78.3955219493074,3,UT
351,CMU-TimeSeries,12.299168896762152,33.447016871234965,3,VA
352,CMU-TimeSeries,0.7180397847276014,37036561.54900608,3,VT
353,CMU-TimeSeries,4.446332617865859,70.71954868551587,3,WA
354,CMU-TimeSeries,34.574195566268216,68.14231347720224,3,WI
355,CMU-TimeSeries,13.40157117209746,53.308733647502685,3,WV
356,CMU-TimeSeries,5.390056774903199,152.45066122776066,3,WY
357,CMU-TimeSeries,5.086628521312809,225451864.54209828,4,AK
358,CMU-TimeSeries,14.941504124785949,47.581042887892025,4,AL
359,CMU-TimeSeries,39.51270936830493,68.28837590493796,4,AR
360,CMU-TimeSeries,81.58713878427805,93.6091744816859,4,AZ
361,CMU-TimeSeries,72.58639498660621,170.5160943073454,4,CA
362,CMU-TimeSeries,17.960912975511693,54.59271063902092,4,CO
363,CMU-TimeSeries,4.936398408145199,77013956.11490802,4,CT
364,CMU-TimeSeries,1.7387595965608622,15303662.096914547,4,DC
365,CMU-TimeSeries,6.908269636164276,84864251.86209874,4,DE
366,CMU-TimeSeries,38.46459902459243,42.68342422557996,4,FL
367,CMU-TimeSeries,32.438718896408304,65.86287060531394,4,GA
368,CMU-TimeSeries,44.61045756941706,76.08176364661635,4,IA
369,CMU-TimeSeries,6.300232010808548,68.87665158193859,4,ID
370,CMU-TimeSeries,24.25725932643989,86.6414506185022,4,IL
371,CMU-TimeSeries,49.10274840711617,64.33566502959611,4,IN
372,CMU-TimeSeries,35.40565767880137,85.94388711469469,4,KS
373,CMU-TimeSeries,16.17854186831377,58.253715334420455,4,KY
374,CMU-TimeSeries,24.593986924792702,77.00091550969084,4,LA
375,CMU-TimeSeries,15.767170420203678,63.11881289732677,4,MA
376,CMU-TimeSeries,10.238886281314887,64.24298055860113,4,MD
377,CMU-TimeSeries,3.453726224014642,69.84011091564733,4,ME
378,CMU-TimeSeries,46.152955610393576,58.24096255648785,4,MI
379,CMU-TimeSeries,34.41418919276553,81.7653743150601,4,MN
380,CMU-TimeSeries,32.96715669280902,42.80572158019375,4,MO
381,CMU-TimeSeries,18.07248506365771,40.07061467701738,4,MS
382,CMU-TimeSeries,14.894091515915088,78.58733494700894,4,MT
383,CMU-TimeSeries,118.04455776924934,195.95197898689653,4,NC
384,CMU-TimeSeries,9.298503654138498,202305604.65269366,4,ND
385,CMU-TimeSeries,27.356077739616858,61.19467276530731,4,NE
386,CMU-TimeSeries,5.983272076918141,113.00750436908575,4,NH
387,CMU-TimeSeries,24.57618472135117,70.87306504549491,4,NJ
388,CMU-TimeSeries,5.652893856783189,71.86603503830474,4,NM
389,CMU-TimeSeries,13.020483744254925,71.34501391273564,4,NV
390,CMU-TimeSeries,29.9474082347701,66.00358025875414,4,NY
